event_id,event_type,created_at,actor,url,repo,action,commit_sha,commit_message
51466364426,WatchEvent,2025-06-29 05:24:11+00:00,omarirose,https://api.github.com/users/omarirose,SoftFever/OrcaSlicer,started,,
51466364428,PullRequestEvent,2025-06-29 05:24:11+00:00,sam1217s,https://api.github.com/users/sam1217s,sam1217s/prueba-merge2,closed,,
51466364422,PushEvent,2025-06-29 05:24:11+00:00,Kriti0613,https://api.github.com/users/Kriti0613,Kriti0613/daily-commit-workflow,,2b8e027abba2cf43a2abe8538f38859703ef3aa6,Auto commit at Sun Jun 29 05:24:09 UTC 2025
51466364424,PushEvent,2025-06-29 05:24:11+00:00,xlongwang,https://api.github.com/users/xlongwang,xlongwang/h5-game,,1b64b9c0cf1c52557ba09f8859de105ce45edc70,feat: 更新充值弹窗样式，调整位置和宽度；添加关闭功能以改善用户交互体验
51466364412,PushEvent,2025-06-29 05:24:11+00:00,AIBO-0318,https://api.github.com/users/AIBO-0318,AIBO-0318/codereviewee,,300b49fe06c2af7f43af3a441430c0e70b652c36,Update README.md
51466364415,PushEvent,2025-06-29 05:24:11+00:00,zzw168,https://api.github.com/users/zzw168,zzw168/MainCtl,,84561e1a44282ebb20637409f67ef2dea2fad765,z
51466364403,PushEvent,2025-06-29 05:24:11+00:00,zacw-243L,https://api.github.com/users/zacw-243L,zacw-243L/How-to-inflate-your-commits-,,1a811f4ee95a719d628ffe41a6ff99da84c11688,Update made at Sun 29/06/2025 13:24:08.28
51466364410,IssuesEvent,2025-06-29 05:24:11+00:00,jatulya,https://api.github.com/users/jatulya,jatulya/flutter-learning,opened,,
51466364400,DeleteEvent,2025-06-29 05:24:11+00:00,mergify[bot],https://api.github.com/users/mergify[bot],longhorn/longhorn-manager,,,
51466364405,PushEvent,2025-06-29 05:24:11+00:00,littlecorsican,https://api.github.com/users/littlecorsican,littlecorsican/Inventory-management-system,,b739dc54dc8ec4ada120b552e944e36075714423,do the same to container
51466364401,PushEvent,2025-06-29 05:24:11+00:00,ThatOneFrench,https://api.github.com/users/ThatOneFrench,ThatOneFrench/Yugioh-Artwork,,474715814c0d098c06d43c5d9b4c8ac494d68a79,Update images/21862633.jpg
51466364397,PushEvent,2025-06-29 05:24:11+00:00,Ahmadmosadq1,https://api.github.com/users/Ahmadmosadq1,Ahmadmosadq1/holbertonschool-higher_level_programming,,6c4edd3f0c27c972970d57136be220d6bdc9c780,Taks#0: Mysqldb
51466364395,WatchEvent,2025-06-29 05:24:11+00:00,Miskamyasa,https://api.github.com/users/Miskamyasa,hyochan/expo-iap,started,,
51466364387,PushEvent,2025-06-29 05:24:11+00:00,NeutralTrade,https://api.github.com/users/NeutralTrade,neutral-trade/vaults-data,,afff07476a17d2f5818d8b62f8f038b1d79da668,Update vault data
51466364385,PushEvent,2025-06-29 05:24:11+00:00,krot4u,https://api.github.com/users/krot4u,krot4u/Public_scripts,,62edc70764d9b82f4c61f42b1dc44c1606c33f43,Update NXDN.csv with new content
51466364378,PushEvent,2025-06-29 05:24:11+00:00,Bekaboo,https://api.github.com/users/Bekaboo,Bekaboo/dropbar.nvim,,e8be36ee2db374afbe12b79ecec27c309afae49d,chore: use `make test-file-<fname>` to test single file
51466364366,WatchEvent,2025-06-29 05:24:11+00:00,programadoramoura,https://api.github.com/users/programadoramoura,twentyhq/twenty,started,,
51466364379,PushEvent,2025-06-29 05:24:11+00:00,dependabot[bot],https://api.github.com/users/dependabot[bot],julianpoy/RecipeSage,,838d3089e0d2b5c20cc29e52feb14d588ce2100d,"chore(deps): bump the aws group with 3 updates

Bumps the aws group with 3 updates: [@aws-sdk/client-s3](https://github.com/aws/aws-sdk-js-v3/tree/HEAD/clients/client-s3), [@aws-sdk/client-ses](https://github.com/aws/aws-sdk-js-v3/tree/HEAD/clients/client-ses) and [@aws-sdk/lib-storage](https://github.com/aws/aws-sdk-js-v3/tree/HEAD/lib/lib-storage).


Updates `@aws-sdk/client-s3` from 3.832.0 to 3.837.0
- [Release notes](https://github.com/aws/aws-sdk-js-v3/releases)
- [Changelog](https://github.com/aws/aws-sdk-js-v3/blob/main/clients/client-s3/CHANGELOG.md)
- [Commits](https://github.com/aws/aws-sdk-js-v3/commits/v3.837.0/clients/client-s3)

Updates `@aws-sdk/client-ses` from 3.830.0 to 3.835.0
- [Release notes](https://github.com/aws/aws-sdk-js-v3/releases)
- [Changelog](https://github.com/aws/aws-sdk-js-v3/blob/main/clients/client-ses/CHANGELOG.md)
- [Commits](https://github.com/aws/aws-sdk-js-v3/commits/v3.835.0/clients/client-ses)

Updates `@aws-sdk/lib-storage` from 3.832.0 to 3.837.0
- [Release notes](https://github.com/aws/aws-sdk-js-v3/releases)
- [Changelog](https://github.com/aws/aws-sdk-js-v3/blob/main/lib/lib-storage/CHANGELOG.md)
- [Commits](https://github.com/aws/aws-sdk-js-v3/commits/v3.837.0/lib/lib-storage)

---
updated-dependencies:
- dependency-name: ""@aws-sdk/client-s3""
  dependency-version: 3.837.0
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: aws
- dependency-name: ""@aws-sdk/client-ses""
  dependency-version: 3.835.0
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: aws
- dependency-name: ""@aws-sdk/lib-storage""
  dependency-version: 3.837.0
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: aws
...

Signed-off-by: dependabot[bot] <support@github.com>"
51466364379,PushEvent,2025-06-29 05:24:11+00:00,dependabot[bot],https://api.github.com/users/dependabot[bot],julianpoy/RecipeSage,,6fdd148d8cab89e0c435f8e497ce8372a0d0d484,chore: nx s3 cache
51466364379,PushEvent,2025-06-29 05:24:11+00:00,dependabot[bot],https://api.github.com/users/dependabot[bot],julianpoy/RecipeSage,,79b8026b6071bc46a28c8de88c09c557844aba01,chore: do not use nx cache for prod builds
51466364379,PushEvent,2025-06-29 05:24:11+00:00,dependabot[bot],https://api.github.com/users/dependabot[bot],julianpoy/RecipeSage,,21311967db151857b33dc582da2b947525b3eaf5,chore(deps): bump the aws group with 3 updates (#1732)
51466364379,PushEvent,2025-06-29 05:24:11+00:00,dependabot[bot],https://api.github.com/users/dependabot[bot],julianpoy/RecipeSage,,05f55ba021be45a83ba1fdebad8f66563967dc64,"fix(l10n): translated using Weblate (Russian)

Currently translated at 100.0% (1025 of 1025 strings)

Translation: RecipeSage App/Frontend UI
Translate-URL: https://weblate.recipesage.com/projects/recipesage-app/app-frontend/ru/"
51466364379,PushEvent,2025-06-29 05:24:11+00:00,dependabot[bot],https://api.github.com/users/dependabot[bot],julianpoy/RecipeSage,,df95e0d51ce34ce33072a0dcc2ef9d159eeff754,"fix(l10n): translated using Weblate (Danish)

Currently translated at 100.0% (1025 of 1025 strings)

Translation: RecipeSage App/Frontend UI
Translate-URL: https://weblate.recipesage.com/projects/recipesage-app/app-frontend/da/"
51466364379,PushEvent,2025-06-29 05:24:11+00:00,dependabot[bot],https://api.github.com/users/dependabot[bot],julianpoy/RecipeSage,,06be6803ad46d3ef990920f438b0c508ff0909ce,fix(l10n): translations update from weblate.recipesage.com (#1729)
51466364379,PushEvent,2025-06-29 05:24:11+00:00,dependabot[bot],https://api.github.com/users/dependabot[bot],julianpoy/RecipeSage,,06de598aede0f2a02757f88f155cbac8048cb12f,"chore(deps-dev): bump eslint in the eslint group across 1 directory

Bumps the eslint group with 1 update in the / directory: [eslint](https://github.com/eslint/eslint).


Updates `eslint` from 9.29.0 to 9.30.0
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/compare/v9.29.0...v9.30.0)

---
updated-dependencies:
- dependency-name: eslint
  dependency-version: 9.30.0
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: eslint
...

Signed-off-by: dependabot[bot] <support@github.com>"
51466364369,PushEvent,2025-06-29 05:24:11+00:00,mergify[bot],https://api.github.com/users/mergify[bot],longhorn/longhorn-manager,,3d5dc52403ebdd0f9844f34f09ed95abf40cca11,fix(deps): update github.com/longhorn/go-iscsi-helper digest to 4c3f089
51466364370,WatchEvent,2025-06-29 05:24:11+00:00,SAMEER-Ad,https://api.github.com/users/SAMEER-Ad,Dea1h/Translator,started,,
51466364367,PushEvent,2025-06-29 05:24:11+00:00,Luhaozhhhe,https://api.github.com/users/Luhaozhhhe,Luhaozhhhe/NKU_Final_Exam,,614ef9597c9a6c4408e0cf472529095526b3ec27,上传2023级学生的考试回忆版。感谢学弟的贡献！
51466364368,CreateEvent,2025-06-29 05:24:11+00:00,bpratham09,https://api.github.com/users/bpratham09,bpratham09/stopwatch,,,
51466364355,PullRequestReviewCommentEvent,2025-06-29 05:24:10+00:00,ashishb,https://api.github.com/users/ashishb,ashishb/wp2hugo,created,,
51466364360,PushEvent,2025-06-29 05:24:11+00:00,sushan7,https://api.github.com/users/sushan7,sushan7/portfolio_site,,5ff227c0531643c3c2bdcaaef5f6daef37fb8495,Remove broken demo submodule reference
51466364365,PullRequestEvent,2025-06-29 05:24:11+00:00,ibnunasir,https://api.github.com/users/ibnunasir,ibnunasir/myinvois-gateway,closed,,
51466364351,PushEvent,2025-06-29 05:24:11+00:00,aisaf8873,https://api.github.com/users/aisaf8873,aisaf8873/Abc,,ac4edeb3e5c86d7bc1667a4e4087384c7f4a5c2f,Push object with numbered keys
51466364346,PushEvent,2025-06-29 05:24:10+00:00,red-hat-konflux[bot],https://api.github.com/users/red-hat-konflux[bot],Niharika0306/opendatahub-operator,,753f116ae5daca57829632d32d6b0d788a408bae,"fix(deps): update github.com/openshift/api digest to 41708f6

Signed-off-by: red-hat-konflux <126015336+red-hat-konflux[bot]@users.noreply.github.com>"
51466364341,PushEvent,2025-06-29 05:24:10+00:00,gus-massa,https://api.github.com/users/gus-massa,gus-massa/ChezScheme,,f6c04e894acef3e0af04df7c73049a812d8925b1,"add real?, rational?, exact? and inexact? to cpprim"
51466364340,PushEvent,2025-06-29 05:24:10+00:00,red-hat-konflux[bot],https://api.github.com/users/red-hat-konflux[bot],openshift/velero,,0ced7e0392936bf1a5623f56e7eed1b1b9350886,"Red Hat Konflux update oadp-velero-oadp-1-5 (#411)

* Red Hat Konflux update oadp-velero-oadp-1-5
Signed-off-by: red-hat-konflux <konflux@no-reply.konflux-ci.dev>

* Konflux: openshift-preflight: failed: HasLicense

""suggestion"": ""Create a directory named /licenses and include all
relevant licensing and/or terms and conditions as text file(s) in that
directory.""

https://docs.redhat.com/en/documentation/red_hat_software_certification/2025/html-single/red_hat_openshift_software_certification_policy_guide/index#assembly-requirements-for-container-ima

> Container images must contain a “licenses” directory. Use this
> directory to add files containing software terms and conditions for your
> product and any open source software included in the image.
>
> Test name: HasLicense

---------

Co-authored-by: red-hat-konflux <konflux@no-reply.konflux-ci.dev>
Co-authored-by: Rayford Johnson <rayfordj@users.noreply.github.com>"
51466364340,PushEvent,2025-06-29 05:24:10+00:00,red-hat-konflux[bot],https://api.github.com/users/red-hat-konflux[bot],openshift/velero,,c454727b5ead47def65daddc7aa23ba53af88280,"chore(deps): update konflux references (#394)

Signed-off-by: red-hat-konflux <126015336+red-hat-konflux[bot]@users.noreply.github.com>
Co-authored-by: red-hat-konflux[bot] <126015336+red-hat-konflux[bot]@users.noreply.github.com>"
51466364340,PushEvent,2025-06-29 05:24:10+00:00,red-hat-konflux[bot],https://api.github.com/users/red-hat-konflux[bot],openshift/velero,,c8853654a5c7a786946f20dc422074389a320ae8,"chore(deps): update opentelemetry-go-contrib monorepo

Signed-off-by: red-hat-konflux <126015336+red-hat-konflux[bot]@users.noreply.github.com>"
51466364343,PushEvent,2025-06-29 05:24:10+00:00,kyucho1009,https://api.github.com/users/kyucho1009,kyucho1009/BOJ,,625ec9fb04c5a5f22265356dc3d04ff36f6d0b2f,Fix: BOJ14940.cpp
